title	text
https://hackmit.org/_0	HackMIT is a weekend-long event where thousands of students from around the world come together to work on cool software and/or hardware projects. As one of the largest undergraduate hackathons in the world, we typically bring in over 1000 students to MIT's campus each fall. This year, HackMIT is back to being fully in-person on MIT's campus during the weekend of October 1st. Students will be building, learning, and creating technology projects from scratch. Websites and mobile apps are common types of hacks, but you can build anything! Think outside the box : ) The Education track aims to empower students and teachers by exploring the ways that Education Technology (EdTech) can augment learning. As schools navigate the return to in-person teaching, it is especially important that we adapt remote teaching tools and support students in making up for lost time in their education. Projects in this track will encourage a love of learning, recognize a variety of learning styles, and aim to make education more accessible.
https://hackmit.org/_1	Projects in the New Frontiers track will incorporate tech emerging at the very forefront of industry, including but not limited to blockchain and Web3, artificial intelligence, machine learning, and VR/AR. We challenge hackers in this track to think deeply about how the new technology they implement will add meaningful value to their project and push the frontiers of possibility.
https://hackmit.org/_2	The Entertainment track promotes the use of technology as a means of expression, encouraging hackers to explore the ways that we create, consume, and share content. Projects in this track will make the most of hackers’ interdisciplinary skills, perhaps by incorporating music, graphics, and other creative mediums, as well as keeping the user at the forefront of design.
https://hackmit.org/_3	The Sustainability track encourages hackers to use technology to pursue a more sustainable future on environmental, economic, and social levels. As sustainability encompasses all aspects of human life, projects in this track will address a diverse range of topics like food, finance, energy, transportation, water, awareness & accountability, and fashion.
https://hackmit.org/_4	The Education track aims to empower students and teachers by exploring the ways that Education Technology (EdTech) can augment learning. As schools navigate the return to in-person teaching, it is especially important that we adapt remote teaching tools and support students in making up for lost time in their education. Projects in this track will encourage a love of learning, recognize a variety of learning styles, and aim to make education more accessible.
https://hackmit.org/_5	Projects in the New Frontiers track will incorporate tech emerging at the very forefront of industry, including but not limited to blockchain and Web3, artificial intelligence, machine learning, and VR/AR. We challenge hackers in this track to think deeply about how the new technology they implement will add meaningful value to their project and push the frontiers of possibility.
https://hackmit.org/_6	The Entertainment track promotes the use of technology as a means of expression, encouraging hackers to explore the ways that we create, consume, and share content. Projects in this track will make the most of hackers’ interdisciplinary skills, perhaps by incorporating music, graphics, and other creative mediums, as well as keeping the user at the forefront of design.
https://hackmit.org/_7	The Sustainability track encourages hackers to use technology to pursue a more sustainable future on environmental, economic, and social levels. As sustainability encompasses all aspects of human life, projects in this track will address a diverse range of topics like food, finance, energy, transportation, water, awareness & accountability, and fashion.
https://hackmit.org/_8	What is a hackathon? HackMIT is a weekend-long event where thousands of students from around the world come together to work on cool new software and/or hardware projects.
https://hackmit.org/_9	When is HackMIT? HackMIT will be a 24 hour hackathon from October 1-2, 2022! What’s the cost? Admission is free and includes mentors, workshops, $wag, resources, and a memorable experience! Where’s the schedule? We'll release a more detailed schedule in the days before the event, but for now, know that check-in will begin at 8am on October 1st and the event will end around 4pm on October 2nd! But I’ve never hacked before! That's totally okay! We'll be hosting beginner workshops where you can start getting your hands dirty with all things hackathon. There will also be beginner prizes available! I still have questions! Please email us at [email protected] if you have any questions or concerns : )
https://hackmit.org/_10	Can I attend? If you are a college undergraduate or an MIT M.Eng student, then yes! Note that we consider student status during the 2022-2023 academic year, so new graduates are not eligible. Want to help out with HackMIT 2022 but are no longer eligible? Apply here to be a mentor or a judge : ) When is the application deadline? Registration will open in early July and close on August 12th. Click here to apply! How do teams work? Your team can have up to 4 people! You can select teammates when you register, and you can also form them during the actual event! What if I don’t have a team? Don't worry! We'll have team formation events at the beginning of the weekend geared towards helping you find people to work with. What if I go to MIT? All MIT students will need to submit an application. Incoming MIT freshmen will receive automatic admission, but still need to fill out an application to be guaranteed a spot! Can I volunteer to judge or mentor? If you're not a high schooler or college undergraduate, you are eligible to judge or mentor at HackMIT 2022! You can find the application here to be a mentor or a judge. What are hackathon tracks? We've developed four tracks, or impact areas, for you to hack in. The top project in each track will be awarded a prize.
https://hackmit.org/_11	How will tracks and prizes work? You will be able to submit your project to ONE track to be eligible for that track prize! Do I have to submit a project if I attend? You can attend all our events without submitting a project, but you must submit one to receive $wag! Will HackMIT be fully in person this year? What will I eat? We’ll provide food for all meals from Saturday’s breakfast to Sunday’s lunch. If you have dietary restrictions, we’ll try our best to accommodate them. Of course, we’ll also have an abundance of snacks throughout the hacking period.
https://hackmit.org/_12	Where will I sleep? Hacking all night is fun, but you can also get some rest when you need it! If you indicate in your confirmation form and you live outside the Boston area, we can match you with an MIT student who will provide places to sleep and shower. How do I get there? If you’re traveling more than 30 miles to MIT, we’ll reimburse your travel, as long as you upload your travel receipts upon confirming your attendance and submit a project before judging at the event. We reimburse up to $200 for all travel (domestic and international).
